route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
916,Weekday,5728__201026_Timetable_-_2026-02,Pickering Parkway Terminal,1,201026_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5729__201075_Timetable_-_2026-02,Pickering Parkway Terminal,1,201075_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
319,Weekday,572__201033_Timetable_-_2026-02,Whitby Station,1,201033_Timetable_-_2026-02,100.0.1980069562_Timetable_-_2026-02,Southbound,1
916,Weekday,5730__201074_Timetable_-_2026-02,Pickering Parkway Terminal,1,201074_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5731__201072_Timetable_-_2026-02,Pickering Parkway Terminal,1,201072_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5732__201036_Timetable_-_2026-02,Pickering Parkway Terminal,1,201036_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5733__201027_Timetable_-_2026-02,Pickering Parkway Terminal,1,201027_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5734__201022_Timetable_-_2026-02,Pickering Parkway Terminal,1,201022_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5735__201076_Timetable_-_2026-02,Pickering Parkway Terminal,1,201076_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5736__201021_Timetable_-_2026-02,Pickering Parkway Terminal,1,201021_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5737__201002_Timetable_-_2026-02,Pickering Parkway Terminal,1,201002_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5738__201029_Timetable_-_2026-02,Pickering Parkway Terminal,1,201029_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5739__201077_Timetable_-_2026-02,Pickering Parkway Terminal,1,201077_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
319,Weekday,573__201033_Timetable_-_2026-02,Whitby Station,1,201033_Timetable_-_2026-02,100.0.1980069562_Timetable_-_2026-02,Southbound,1
916,Weekday,5740__201026_Timetable_-_2026-02,Pickering Parkway Terminal,1,201026_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5741__201005_Timetable_-_2026-02,Pickering Parkway Terminal,1,201005_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5742__201075_Timetable_-_2026-02,Pickering Parkway Terminal,1,201075_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5743__201074_Timetable_-_2026-02,Pickering Parkway Terminal,1,201074_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5744__201003_Timetable_-_2026-02,Pickering Parkway Terminal,1,201003_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5745__201072_Timetable_-_2026-02,Pickering Parkway Terminal,1,201072_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5746__201036_Timetable_-_2026-02,Pickering Parkway Terminal,1,201036_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5747__201027_Timetable_-_2026-02,Pickering Parkway Terminal,1,201027_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
916,Weekday,5748__201022_Timetable_-_2026-02,Pickering Parkway Terminal,1,201022_Timetable_-_2026-02,100.0.2515573554_Timetable_-_2026-02,Westbound,1
